Hanzi,Pinyin,O'zbekcha
一般,yìbān,Odatda
一边,yìbiān,Ham…
一定,yídìng,Albatta
一共,yígòng,Hammasi; jami
一会儿,yíhuìr,Birozdan so'ng
一样,yíyàng,Bir xil
一直,yìzhí,Har doim; hamma vaqt
以前,yǐqián,Oldin; oldindan
音乐,yīnyuè,Musiqa
银行,yínháng,Bank
饮料,yǐnliào,Ichimlik
应该,yīnggāi,Kerak
影响,yǐngxiǎng,Ta'sir etmoq; ta'sir o'tkazmoq
用,yòng,Foydalanmoq
游戏,yóuxì,O'yin
有名,yǒumíng,Mashhur
又,yòu,Ham…
遇到,yùdào,Duch kelip qolish
元,yuán,Pul birlik
愿意,yuànyì,Xohlamoq; istamoq
月亮,yuèliang,Oy
越,yuè,Ko'p(roq)
站,zhàn,Bekat
张,zhāng,Hisob so'z
长,cháng,Uzun
着急,zháojí,Shoshilmoq
照顾,zhàogù,G'amxo'rlik qilmoq
照片,zhàopiàn,Rasm; surat
照相机,zhàoxiàngjī,Fotoapparat
只,zhǐ,Faqat
只有……才……,zhǐyǒu…cái…,Faqat; agar…; keyin…
中间,zhōngjiān,O'rta; oraliq
中文,zhōngwén,Xitoycha
终于,zhōngyú,Axiri
种,zhǒng,Nav; tur; xil
重要,zhòngyào,Muhim
周末,zhōumò,Hafta oxiri
主要,zhǔyào,Eng asosiysi; eng muhimi
注意,zhùyì,E'tibor bermoq
自己,zìjǐ,O'zi; o'zim
自行车,zìxíngchē,Velosiped
总是,zǒngshì,Har doim
嘴,zuǐ,Og'iz
最后,zuìhòu,Eng oxiri; oxirgisi
最近,zuìjìn,Yaqin orada
作业,zuòyè,Uyga vazifa
