Hanzi,Pinyin,O'zbekcha
公园,gōngyuán,xiyobon
故事,gùshi,hikoya
刮风,guāfēng,shamol esmoq
关,guān,yopmoq; o'chirmoq
关系,guānxì,aloqa
关心,guānxīn,qayg'urmoq; e'tibor
关于,guānyú,haqida; to'g'risida
国家,guójiā,mamlakat
过,guò,o'tkazmoq; o'tmoq
过去,guòqù,oldin
还是,háishì,hali ham; afzal; yoki
害怕,hàipà,qo'rqmoq
航班,hángbān,samolyot reysi
黑板,hēibǎn,doska
后来,hòulái,kechroq; undan keyin
护照,hùzhào,pasport
花,huā,ishlatmoq; sarflamoq; gul
画,huà,chizmoq; rasm
坏,huài,yomon; afsuski
还,huán,qaytarib bermoq
环境,huánjìng,atrof-muhit
换,huàn,almashtirmoq; pul almashtirmoq
黄河,Huánghé,Sariq daryo
会议,huìyì,yig'ilish
或者,huòzhě,yoki
几乎,jīhū,deyarli
机会,jīhuì,imkoniyat
极,jí,o'ta; juda
记得,jìde,esda tutmoq
季节,jìjié,fasl
检查,jiǎnchá,tekshirmoq
简单,jiǎndān,oson; qulay
见面,jiànmiàn,uchrashmoq
健康,jiànkāng,sog'lom
讲,jiǎng,gapirmoq; so'zlamoq
降落,jiàngluò,qo'nmoq
角,jiǎo,jiao (pul birligi); burchak
脚,jiǎo,oyoq
教,jiāo,o'rgatmoq; dars bermoq
接,jiē,qabul qilish; kutib olish; davom etmoq
街道,jiēdào,ko'cha
节目,jiémù,dastur
节日,jiérì,bayram kuni
结婚,jiéhūn,turmush qurmoq
结束,jiéshù,tugamoq; yakuniga yetmoq
解决,jiějué,hal qilmoq
借,jiè,vaqtinchalik olib turmoq
经常,jīngcháng,ko'pincha
经过,jīngguò,o'tmoq
经理,jīnglǐ,boshqaruvchi
久,jiǔ,uzun vaqt
旧,jiù,eski
句子,jùzi,jumla
决定,juédìng,qarorga kelmoq; qaror
可爱,kě'ài,chiroyli; ajoyib; shirin
渴,kě,chanqamoq
刻,kè,chorak; 15 minut
客人,kèrén,mehmon
空调,kōngtiáo,konditsioner
口,kǒu,odamlar uchun hisob so'z; og'iz
哭,kū,yig'lamoq
裤子,kùzi,shim
筷子,kuàizi,cho'p
蓝,lán,havorang
老,lǎo,qari
离开,líkāi,ketmoq; tark etmoq
礼物,lǐwù,sovg'a
历史,lìshǐ,tarix
脸,liǎn,yuz
练习,liànxí,mashq qilmoq; mashq
辆,liàng,avtoulovlar uchun hisob so'z
聊天,liáotiān,suhbatlashmoq
了解,liǎojiě,bilmoq
邻居,línjū,qo'shni
留学,liúxué,chet elda o'qimoq
楼,lóu,bino
绿,lǜ,yashil
马,mǎ,ot
马上,mǎshàng,darhol
满意,mǎnyì,mamnun
帽子,màozi,telpak
米,mǐ,metr
面包,miànbāo,non
面条,miàntiáo,ugra
明白,míngbai,tushunmoq; tushunarli
拿,ná,olmoq
奶奶,nǎinai,buvi (ota tomon)
南,nán,janub
难,nán,qiyin
难过,nánguò,og'ir damlarni o'tkazmoq
年级,niánjí,kurs
年轻,niánqīng,yosh
鸟,niǎo,qush
努力,nǔlì,tirishqoq
爬山,páshān,tog'ga chiqmoq
盘子,pánzi,likop
胖,pàng,semiz; semirmoq
皮鞋,píxié,charm poyafzal
啤酒,píjiǔ,pivo
普通话,pǔtōnghuà,mandarin tili
其实,qíshí,aslida
其他,qítā,boshqa
奇怪,qíguài,g'alati
骑,qí,minmoq
起飞,qǐfēi,uchmoq; havoga ko'tarilmoq
清楚,qīngchu,aniq; tushunmoq
秋,qiū,kuz
裙子,qúnzi,yubka
然后,ránhòu,undan keyin
热情,rèqíng,muloyim
认为,rènwéi,taxmin qilmoq
认真,rènzhēn,jiddiy
容易,róngyì,yengil
如果,rúguǒ,agar
伞,sǎn,soyabon
上网,shàngwǎng,internetda ishlamoq
生气,shēng qì,jahl chiqmoq
声音,shēngyīn,tovush
世界,shìjiè,dunyo
试,shì,sinab ko'rmoq
瘦,shòu,ozg'in; ozmoq
叔叔,shūshu,amaki
舒服,shūfu,maza
树,shù,daraxt
数学,shùxué,matematika
刷牙,shuāyá,tish tozalamoq
双,shuāng,juft
水平,shuǐpíng,daraja
司机,sījī,haydovchi
太阳,tàiyáng,quyosh
特别,tèbié,juda; antiqa
疼,téng,og'rimoq
提高,tígāo,ko'tarilmoq; rivoj
体育,tǐyù,sport; jismoniy tarbiya
甜,tián,shirin
条,tiáo,uzunchoq buyumlar uchun hisob so'z
同事,tóngshì,hamkasb
同意,tóngyì,rozi bo'lmoq
头发,tóufa,soch
突然,tūrán,tasodifiy; tasodifan
图书馆,túshūguǎn,kutubxona
腿,tuǐ,oyoq
完成,wánchéng,tugatmoq; bitirmoq
碗,wǎn,kosa
万,wàn,o'n ming
忘记,wàngjì,esdan chiqarmoq; unutmoq
为,wèi,uchun
为了,wèile,uchun
位,wèi,hurmatli shaxslar uchun hisob so'z
文化,wénhuà,madaniyat
西,xī,g'arb
习惯,xíguàn,ko'nikmoq; odat
洗手间,xǐshǒujiān,xojatxona
洗澡,xǐzǎo,yuvinmoq
夏,xià,yoz
先,xiān,oldin
相信,xiāngxìn,ishonmoq
香蕉,xiāngjiāo,banan
向,xiàng,yo'nalish
像,xiàng,o'xshamoq; -dek
小心,xiǎoxīn,ehtiyot bo'lmoq; ehtiyotlik bilan
校长,xiàozhǎng,maktab direktori
新闻,xīnwén,xabar; yangilik
新鲜,xīnxiān,sof
信用卡,xìnyòngkǎ,kredit kartasi
行李箱,xínglixiāng,chamadon
熊猫,xióngmāo,panda
需要,xūyào,kerak; zarur
选择,xuǎnzé,tanlamoq; tanlash
要求,yāoqiú,talab qilmoq; talab
爷爷,yéye,buva (ota tomon)
一定,yídìng,albatta; ma'lum
一共,yígòng,hammasi bo'lib
一会儿,yíhuìr,biroz
一样,yíyàng,bir xil
一般,yìbān,odatda; oddiy
一边,yìbiān,ikkita harakatni bir paytda qilinishini ifoda etadi
一直,yìzhí,har doim
以前,yǐqián,oldin
音乐,yīnyuè,musiqa
银行,yínháng,bank
饮料,yǐnliào,ichimlik
应该,yīnggāi,kerak
影响,yǐngxiǎng,ta'sir qilmoq; taassurot
用,yòng,ishlatmoq
游戏,yóuxì,o'yin
有名,yǒumíng,mash'hur
又,yòu,yana
遇到,yùdào,uchratmoq
元,yuán,yuan (Xitoy pul birligi)
愿意,yuànyì,istamoq; xohlamoq
月亮,yuèliang,oy
越,yuè,borgan sari
站,zhàn,turmoq; bekat
张,zhāng,usti ochiq buyumlar uchun hisob so'z; ochmoq
照顾,zhàogù,parvarishlamoq; parvarish
照片,zhàopiàn,foto
照相机,zhàoxiàngjī,kamera
只,zhī,hayvonlar uchun hisob so'z
只,zhǐ,yagona
中间,zhōngjiān,markaz
中文,Zhōngwén,xitoy tili
终于,zhōngyú,nihoyat
种,zhǒng,tur; nav
重要,zhòngyào,muhim; ahamiyatli
周末,zhōumò,hafta oxiri; dam olish kunlari
主要,zhǔyào,asosiy
注意,zhùyì,e'tibor qaratmoq
着急,zháojí,hayajonlanmoq
自己,zìjǐ,o'z
总是,zǒngshì,hamisha; doimo
嘴,zuǐ,og'iz
最近,zuìjìn,boya; yaqinda
作业,zuòyè,dars vazifasi
作用,zuòyòng,ta'sir
爱情,àiqíng,sevgi
安排,ānpái,tashkillashtirish; rejalashtirmoq
安全,ānquán,xavfsiz; xavfsizlik
按时,ànshí,o'z vaqtida
按照,ànzhào,bo'yicha; ko'ra
百分之,bǎifēnzhī,foiz
棒,bàng,yaxshi
包子,bāozi,qiymali kulcha
保护,bǎohù,himoya qilmoq
保证,bǎozhèng,kafolat bermoq; kafolat
报名,bàomíng,qaydlov uchun shaxsiy ma'lumotlarni kiritish
抱,bào,quchoqlamoq
抱歉,bàoqiàn,afsuslanmoq; o'kinmoq
倍,bèi,karra; barobar
本来,běnlái,dastlab
笨,bèn,ahmoqona
比如,bǐrú,misol keltirmoq; masalan
毕业,bìyè,bitirmoq
遍,biàn,bir necha marotaba
标准,biāozhǔn,mezon; standart; andoza
表格,biǎogé,ro'yxat
表示,biǎoshì,ifoda qilmoq
表演,biǎoyǎn,ijro etish; ko'rsatuv
表扬,biǎoyáng,maqtamoq; e'tirof
饼干,bǐnggān,pishiriq; biskvit
并且,bìngqiě,so'ngra; shuningdek
博士,bóshì,doktor (akademik daraja)
不过,búguò,biroq; lekin
不得不,bùdébù,kerak
不管,bùguǎn,qat'iy nazar
不好意思,bùhǎoyìsi,tortinmoq; uyalmoq
不仅,bùjǐn,nafaqat
部分,bùfen,bo'lim; taqsim; qism
擦,cā,tozalash uchun artish yoki ishqalash
猜,cāi,taxmin qilmoq; faraz qilmoq
材料,cáiliào,ma'lumot; material
参观,cānguān,ekskursiya qilmoq; aylanmoq
餐厅,cāntīng,restoran
厕所,cèsuǒ,xojatxona
差不多,chàbuduō,taxminan; deyarli
长城,Chángchéng,Buyuk Xitoy devori
长江,Cháng jiāng,Yantszi daryosi
尝,cháng,ta'tib ko'rmoq
场,chǎng,bo'lim; taym; seans
超过,chāoguò,ortda qoldirmoq; o'zmoq
吵,chǎo,shovqinli; janjallashmoq
成功,chénggōng,muvaffaqiyatga erishmoq; muvaffaqiyat
成为,chéngwéi,bo'lmoq
诚实,chéngshí,samimiy; halol; rost
乘坐,chéngzuò,o'tirmoq (transportga)
吃惊,chījīng,hayratda qolmoq; ajablanmoq
重新,chóngxīn,yana bir marotaba; takroran
抽烟,chōuyān,sigaret chekish
出差,chūchāi,xizmat safari
出发,chūfā,jo'namoq
出生,chūshēng,tug'ilmoq
厨房,chúfáng,oshxona
传真,chuánzhēn,faks
窗户,chuānghu,deraza
词语,cíyǔ,so'z va jumla
从来,cónglái,doimo; har doim
粗心,cūxīn,beparvo
存,cún,saqlamoq
错误,cuòwù,yanglish; xato
答案,dá'àn,javob
打扮,dǎban,kiyinmoq; pardoz qilmoq
打扰,dǎrǎo,tashvishlantirmoq; xalal bermoq
打印,dǎyìn,bosib chiqarish
打招呼,dǎzhāohu,salomlashmoq; so'rashmoq
打折,dǎzhé,chegirma qilmoq
打针,dǎzhēn,igna sanchmoq; ukol qilmoq
大概,dàgài,taxminan; deyarli
大使馆,dàshǐguǎn,elchixona
大约,dàyuē,taxminan
大夫,dàifu,shifokor; vrach
戴,dài,taqmoq; kiymoq
当时,dāngshí,o'sha payt
刀,dāo,pichoq
导游,dǎoyóu,gid
倒,dǎo,yotmoq; yiqilib tushmoq; qulamoq
到处,dàochù,har yerda
到底,dàodǐ,yerda; yer yuzida
道歉,dàoqiàn,kechirim so'ramoq; uzr so'ramoq
得意,déyì,faxrlanmoq; g'ururlanmoq
登机牌,dēngjīpái,samolyotga chiqish taloni
低,dī,past; pastga qarab
底,dǐ,so'ngida; oxirida
地点,dìdiǎn,joy; yer
地球,dìqiú,yer
地址,dìzhǐ,manzil
调查,diàochá,tadqiq qilmoq; tadqiqot
掉,diào,qulamoq; yiqilmoq
丢,diū,yo'qotmoq
动作,dòngzuò,harakat
堵车,dǔchē,mashinalar tirbandligi
肚子,dùzi,qorin
短信,duǎnxìn,qisqa xabar
对话,duìhuà,suhbat
对面,duìmiàn,qarshisida; ro'parasida
儿童,értóng,yosh bola
而,ér,va; biroq; ammo
发生,fāshēng,yuzaga kelmoq
发展,fāzhǎn,rivojlanmoq
法律,fǎlǜ,qonun
翻译,fānyì,tarjima qilmoq
烦恼,fánnǎo,tashvish; tashvishlanmoq
反对,fǎnduì,qarshi bo'lmoq
方法,fāngfǎ,usul
方面,fāngmiàn,nuqtayi nazar
方向,fāngxiàng,yo'nalish
房东,fángdōng,ijaraga beruvchi
放弃,fàngqì,taslim bo'lish
放暑假,fàng shǔjià,yozgi ta'til
放松,fàngsōng,bo'shashmoq
费用,fèiyòng,qilingan xarajat miqdori
份,fèn,mo'ljallangan miqdor
丰富,fēngfù,boy; boyitmoq
否则,fǒuzé,aks holda
符合,fúhé,muvofiq kelmoq; munosib bo'lmoq
父亲,fùqīn,dada; ota
付款,fùkuǎn,to'lamoq
负责,fùzé,mas'ul bo'lmoq; mas'uliyatli
复印,fùyìn,nusxa; nusxa olmoq
复杂,fùzá,mukammal; qiyin
富,fù,boy
改变,gǎibiàn,o'zgarmoq; o'zgarish
干杯,gānbēi,ohirgacha ichamiz!
赶,gǎn,ushlamoq; tutib olmoq
敢,gǎn,qilishga jur'at etmoq
感动,gǎndòng,ta'sirlanmoq
感觉,gǎnjué,taassurot; his etmoq
感情,gǎnqíng,his
感谢,gǎnxiè,minnatdorchilik bildirmoq; minnatdorlik
干,gàn,qilmoq; ishlamoq
高级,gāojí,yetakchi; afzal
高速公路,gāosùgōnglù,trassa
各,gè,turli; xilma-xil
工资,gōngzī,oylik
公里,gōnglǐ,kilometr
功夫,gōngfu,Kung-Fu
共同,gòngtóng,umumiy
购物,gòuwù,xarid qilmoq
够,gòu,yetarli; yetmoq
估计,gūjì,taxminan; taxmin
鼓励,gǔlì,ilhom; ilhomlantirish
故意,gùyì,atayin
顾客,gùkè,xaridor
挂,guà,osmoq; ilmoq; osib qo'ymoq
关键,guānjiàn,asosiy omil; juda muhim
观众,guānzhòng,tomoshabin
管理,guǎnlǐ,boshqarmoq; boshqaruv
光,guāng,nur; faqat; natijani bildiradi
广播,guǎngbō,radioeshittirish
广告,guǎnggào,e'lon; reklama
逛,guàng,aylanmoq; sayr qilmoq
规定,guīdìng,talab qilmoq; qoida
国籍,guójí,fuqarolik
国际,guójì,xalqaro
果汁,guǒzhī,sharbat
过程,guòchéng,jarayon
海洋,hǎiyáng,ummon
害羞,hàixiū,uyatchan; hayajonli
寒假,hánjià,qishki ta'til
汗,hàn,ter
好处,hǎochu,foyda
好像,hǎoxiàng,xuddi
号码,hàomǎ,son; raqam
合格,hégé,kvalifikatsiyaga ega
合适,héshì,mos
盒子,hézi,quti
后悔,hòuhuǐ,afsuslanmoq
厚,hòu,semiz; qalin; qalinlik
互联网,hùliánwǎng,internet
互相,hùxiāng,o'zaro
护士,hùshi,hamshira
怀疑,huái yí,shubha
回忆,huíyì,eslamoq; xotira
活动,huódòng,sport bilan shug'ullanmoq; tadbir
活泼,huópō,jonli
火,huǒ,olov; jahl; ommabop
获得,huòdé,qo'lga kiritmoq
积极,jījí,faol
积累,jīlěi,oshirmoq; oshirish
基础,jīchǔ,negiz; asos; negizli
激动,jīdòng,ta'sirlanmoq; ta'sirlanish
及时,jíshí,vaqtida; o'z vaqtida
即使,jíshǐ,qat'iy nazar
计划,jìhuà,reja; rejalashtirmoq
计算机,jìsuànjī,kompyuter
记者,jìzhě,muxbir
技术,jìshù,texnologiya
既然,jìrán,modomiki
继续,jìxù,davom etmoq
寄,jì,yubormoq
加班,jiābān,belgilangan vaqtdan ko'proq ishlash
加油站,jiāyóuzhàn,yoqilg'i quyish shaxobchasi
家具,jiājù,uy mebeli
价格,jiàgé,narx
假,jiǎ,yolg'on
坚持,jiānchí,o'z fikrini himoya qilmoq
减肥,jiǎnféi,ozmoq
减少,jiǎnshǎo,qisqarmoq; kamaymoq
建议,jiànyì,maslahat bermoq; maslahat
将来,jiānglái,kelasi zamon; kelajak
奖金,jiǎngjīn,mukofot
降低,jiàngdī,pasayish
交,jiāo,bermoq; orttirmoq
交流,jiāoliú,muloqot qilmoq; alishmoq
交通,jiāotōng,transport
郊区,jiāoqū,viloyat
骄傲,jiāo'ào,g'urur
饺子,jiǎozi,chuchvara
教授,jiàoshòu,professor
