Hanzi,Pinyin,O'zbekcha
彼此,bǐcǐ,O’zaro; har tomonlama
笔记本,bǐjìběn,Noutbuk; kompyuter
毕竟,bìjìng,Nihoyat
毕业,bìyè,Tugatmoq; tamomlamoq
避免,bìmiǎn,Qochmoq; qutulmoq
必然,bìrán,Muqarrar; zaruriy
必须,bìxū,Shart
必需,bìxū,Kerak; shart
必要,bìyào,Kerak
编辑,biānjí,Tahrir qilmoq; tahririyat
鞭炮,biānpào,Paqildoq
便,biàn,Qulay
遍,biàn,Butun; har yerda; marta
变化,biànhuà,O’zgarmoq; o’zgarish
辩论,biànlùn,Muhokama qilmoq; muzokara qilmoq
标点,biāodiǎn,Yumaloq nuqta (tinish belgisi)
标志,biāozhì,Belgi; ko’rsatkich
标准,biāozhǔn,Me’yoriy; aniq
表达,biǎodá,Ifodalamoq
表格,biǎogé,Shakl; forma
表面,biǎomiàn,Tashqi tomon; yuza; ustki qism
表明,biǎomíng,Guvohlik bermoq; tasdiqlamoq
表情,biǎoqíng,Ifoda; belgi
表示,biǎoshì,Ifodalamoq
表现,biǎoxiàn,Ijro etmoq; namoyish qilmoq
表演,biǎoyǎn,Ijro etmoq; namoyish qilmoq
表扬,biǎoyáng,Rag’batlantirmoq; taqdirlamoq
别,bié,Ajralmoq; - ma (inkor yuklamasi)
别人,biéren,Boshqa; begona odam
宾馆,bīnguǎn,Mehmonxona
冰箱,bīngxiāng,Muzlatgich
丙,bǐng,Uchinchi
饼干,bǐnggān,Pechenye; biskvit
病毒,bìngdú,Virus; virusli
并且,bìngqiě,Yana ham
玻璃,bōli,Oyna
博士,bóshì,Fan doktori
博物馆,bówùguǎn,Muzey
脖子,bózi,Bo’yin
不必,búbì,Tengsiz
不但,búdàn,Nafaqat
不断,búduàn,To’xtovsiz
不过,búguò,Ammo; faqat
不见得,bújiàndé ,Dargumon
不客气,búkèqi,Hech qisi yo’q
不耐烦,búnàifán,Sabrsiz; betoqat
不要紧,búyàojǐn,Jiddiy emas
补充,bǔchōng,Qo’shimcha qilmoq
布,bù,Gazmol; material
不,bù,Emas; yo’q
不安,bù'ān,Notinchlik
不得不,bùdébù,Majbur; darkor
不得了,bùdéliǎo,Musibat; bo’lmay qoldi
不管,bùguǎn,Qat’iy nazar; - sa bo’lsa ham
不好意思,bùhǎoyìsi,Hijolat bo’lmoq
不仅,bùjǐn,Nafaqat; balki
不免,bùmiǎn,Beixtiyor; bilmasdan
不然,bùrán,Noto’g’ri; xato
不如,bùrú ,- dan ko’ra; - ga qaraganda
不足,bùzú,Yetmaslik; yetishmaslik
部分,bùfen,Qism; bo’lim
部门,bùmén,Soha; muassasa; idora
步骤,bùzhòu,Qadam; o’lchov
擦,cā,Tozalamoq; artmoq
猜,cāi,O’ylab topmoq
才,cái,Endi; endigina
财产,cáichǎn,Boylik; mol – mulk
材料,cáiliào,Material; mol
踩,cǎi,Payhon qilmoq; toptamoq
采访,cǎifǎng,Intervyu olmoq
采取,cǎiqǔ,Qabul qilmoq
彩虹,cǎihóng,Kamalak
菜,cài,Sabzavot; salat; ovqat
菜单,càidān,Menyu
参观,cānguān,Tashrif buyurmoq; ekskursiyaga bormoq
参加,cānjiā,Ishtirok etmoq; qatnashmoq
参考,cānkǎo,Surishtirmoq; ma’lumot
参与,cānyù,Ishtirok etmoq; qatnashmoq
餐厅,cāntīng,Oshxona; restoran
残疾,cánjí,Mayiblik; majruhlik
惭愧,cánkuì,Uyat; uyalmoq; hijolat tortmoq
操场,cāochǎng,Sport maydoni; stadion
操心,cāoxīn,Tashvishlanmoq; g’amxo’rlik qilmoq
草,cǎo,O’t; maysa
册,cè,Qism; tom
厕所,cèsuǒ,Hojatxona
测验,cèyàn,Tekshirmoq; nazorat ishi
层,céng,Qavat
曾经,céngjīng,Avval; oldin
插,chā,Tiqmoq; suqmoq; sanchmoq
差别,chābié,Farq; tavofut
叉子,chāzi,Sanchqi
茶,chá,Choy
差,chà,Farq; tavofut
差不多,chàbuduō,Deyarli
拆,chāi,Ochmoq; ochib olmoq
产品,chǎnpǐn,Mahsulot
产生,chǎnshēng,Paydo bo’lmoq; ro’y bermoq
尝,cháng,Ta’tib ko’rmoq
长,cháng,Uzun; uzoq; uzunlik
长城,Chángchéng,Buyuk Xitoy devori
长江,Cháng Jiāng,Yanszi daryosi
长途,chángtú,Uzun yo’l; uzoq
常识,chángshí,Elementar bilim
场,chǎng,Maydon
唱歌,chànggē,Kuylamoq
抄,chāo,Ko’chirmoq
超过,chāoguò,Ortiq bo’lmoq; o’zib ketmoq
超市,chāoshì,Supermarket
朝,cháo,Sulola; - ga (qo’shimchasi)
朝代,cháodài,Sulola
炒,chǎo,Qovurmoq; qovurilgan
吵,chǎo,Baqirmoq
吵架,chǎojià,Janjallashmoq; bahslashmoq
车库,chēkù,Garaj
车厢,chēxiāng,Vagon
彻底,chèdǐ,To’la – to’kis; qat’iy; butunlay
沉默,chénmò,Jim turmoq; jimlik
趁,chèn,Foydalanmoq
衬衫,chènshān,Erkaklar ko’ylagi
称,chēng,Yaqinlashmoq; mos kelmoq
称呼,chēnghu,Atamoq; nomlamoq; chaqirmoq
称赞,chēngzàn,Maqtamoq
乘,chéng,Bormoq; uchmoq
乘坐,chéngzuò,Yuqorida o’tirmoq
承担,chéngdān,O’z bo’yniga olmoq
承认,chéngrèn,Iqror bo’lmoq; tan olmoq
承受,chéngshòu,Meros olmoq; chidamoq
程度,chéngdù,Daraja
程序,chéngxù,Tartib; jarayon
成分,chéngfèn,Qism; ulush; hissa
成功,chénggōng,Omad; muvaffaqiyat
成果,chéngguǒ,Natija; yutuq
成绩,chéngjì,Natija
成就,chéngjiù,Yutuq; muvaffaqiyat
成立,chénglì,Yaratmoq; asos solmoq
成熟,chéngshú,Yetilmoq; yetilgan; puxta; pishgan; tajribali
成为,chéngwéi,Sodir bo’lmoq; o’zgarmoq; aylanmoq
成语,chéngyǔ,Maqol; frazeologiya
成长,chéngzhǎng,O’smoq; rivojlanmoq; yuksalish; rivojlanish; o’sish
诚恳,chéngkěn,Samimiy; sofdil; chin qalbdan
诚实,chéngshí,Vijdonli
城市,chéngshì,Shahar
吃,chī,Yemoq
吃惊,chījīng,Qo’rqmoq
吃亏,chīkuī,Zarar ko’rmoq
迟到,chídào,Kechikmoq
持续,chíxù,Cho’zilmoq; davom etmoq
池子,chízi,Basseyn
尺子,chǐzi,O’lchov lineykasi
翅膀,chìbǎng,Qanot; parrak
冲,chōng,Yuvib ketmoq; yuvmoq; chayqamoq
充电器,chōngdiànqì,Quvvatlagich
充分,chōngfèn,Yetarlicha; butun
充满,chōngmǎn,To’ldirmoq
重复,chóngfù,Qaytarmoq
重新,chóngxīn,Qaytadan; yana
宠物,chǒngwù,Uy hayvoni
抽屉,chōuti,Stol tortmasi
抽象,chōuxiàng,Mavhum
抽烟,chōuyān,Chekmoq
丑,chǒu,Xunuk; badbashara
臭,chòu,Badbo’y; sassiq
出,chū,Chiqmoq
出版,chūbǎn,Chop qilmoq
出差,chūchāi,Komandirovka; komandirovkaga ketmoq
出发,chūfā,Jo’namoq; jo’nab ketmoq
出口,chūkǒu,Eksport
出色,chūsè,Ajoyib; a’lo darajali
出生,chūshēng,Tug’ilmoq
出席,chūxí,Majlisda qatnashmoq
出现,chūxiàn,Paydo bo’lmoq
出租车,chūzūchē,Taksi
初级,chūjí,Dastlabki; boshlang’ich
除,chú,Barham bermoq; yo‘q qilmoq
除非,chúfēi,Agar; faqat
除了,chúle,- dan tashqari
除夕,chúxī,Yangi yil arafasi
厨房,chúfáng,Oshxona
处理,chǔlǐ,Tuzmoq; bartaraf qilmoq; ishlov berish
穿,chuān,Kiymoq; kiyinmoq; sanchmoq; teshik ochmoq
船,chuan,Kema
传播,chuánbō,Kengaytirmoq; tarqatmoq
传递,chuándì,Uzatmoq; yetkazmoq
传染,chuánrǎn,Yuqtirmoq; yuqumli
传说,chuánshuō,Afsona; rivoyat
传统,chuántǒng,An’ana; an’naviy
传真,chuánzhēn,Faks
窗户,chuānghu,Deraza
窗帘,chuānglián,Parda
闯,chuǎng,Bostirib kirmoq
创造,chuàngzào,Yaratmoq; ishlab chiqarmoq
吹,chuī,Puflamoq
春,chūn,Bahor; bahorgi
磁带,cídài,Kasseta
词典,cídiǎn,Lug’at
词语,cíyǔ,So’z; ibora
辞职,cízhí,Ishdan haydalmoq
此外,cǐwài,– dan tashqari
次,cì,Marta; keyingi
次要,cìyào,Ahamiyatsiz; ikkinchi darajali
刺激,cìjī,G’azablantirmoq; qo’zg’atmoq
匆忙,cōngmáng,Shoshilmoq
聪明,cōngming,Aqlli
从,cóng,– dan; – dan beri
从此,cóngcǐ,O’shandan beri
从而,cóng'ér,Binobarin; shunday qilib
从来,cónglái,Avvaldan; anchadan beri
从前,cóngqián,Avval; ilgari
从事,cóngshì,Shug’ullanmoq; o’zini tanishtirmoq
粗心,cūxīn,Beparvo; pala-partish; e’tiborsiz
醋,cù,Sirka; rashk
促进,cùjìn,Rag’batlantirmoq; jadallashtirmoq; osonlashtirmoq
促使,cùshǐ,Uyg’otmoq; majburlamoq
催,cuī,Shoshirmoq
存,cún,Yashamoq; mavjud bo’lmoq; saqlamoq
存在,cúnzài,Yashamoq; mavjudlik
错,cuò,Xato; xato qilmoq; adashmoq
错误,cuòwù,Xato; xatolik
措施,cuòshī,O’lchov qabul qilmoq
答应,dāying,Va’da bermoq; rozi bo’lmoq
答案,dá'àn,Javob bermoq; javob
达到,dádào,Bormoq; yetmoq; erishmoq
打扮,dǎban,Bezanmoq
打电话,dǎ diànhuà,Qo’ng’iroq qilmoq
打工,dǎgōng,Ishlamoq
打交道,dǎ jiāodao,Do’stlashmoq; aloqa qilmoq
打篮球,dǎ lánqiú,Basketbol o’ynamoq
打喷嚏,dǎ pēntì,Aksirmoq
打扰,dǎrǎo,Bezovta qilmoq
打扫,dǎsǎo,Tozalamoq
打算,dǎsuàn,Rejalashtirmoq
打听,dǎting,Eshitmoq
打印,dǎyìn,Nashr qilmoq; nashr
打招呼,dǎ zhāohu,Salomlashmoq
打折,dǎzhé,Chegirma qilmoq
打针,dǎzhēn,Ukol qilmoq
大,dà,Katta
大方,dàfang,Ochiqko’ngil
大概,dàgài,Taxminan
大家,dàjiā,Hamma; barcha
大使馆,dàshǐguǎn,Elchixona
大象,dàxiàng,Fil
大型,dàxíng,Yirik; katta
大约,dàyuē,Taxminan; chamasi
呆,dāi,Qolmoq; to’xtab qolmoq
带,dài,Olmoq;o’zi bilan olmoq
戴,dài,Taqmoq; kiymoq (boshga)
代表,dàibiǎo,Vakil
代替,dàitì,Almashtirmoq; o’rniga
大夫,dàifu,Shifokor
贷款,dàikuǎn,Qarzga bermoq
待遇,dàiyù,Munosabat; muomala; muomala qilmoq
单纯,dānchún,Oddiy
单调,dāndiào,Rangsiz; xira; sayoz; o’zgarmaydigan
单独,dāndú,Alohida; yakka
单位,dānwèi,O’lchov birligi; birlik
单元,dānyuán,Uy; raqam (mehmonxonada); blok
担任,dānrèn,O’z bo’yniga olmoq
担心,dānxīn,Xavotirlanmoq
耽误,dānwu,Boy bermoq (vaqtni)
胆小鬼,dǎnxiǎoguǐ,Qo’rqoq
淡,dàn,Suyuq; kuchsiz; siyrak; quvvatsiz
蛋糕,dàngāo,Tort
但是,dànshì,Ammo; biroq
当,dāng,Bo’lmoq; ishlamoq
当代,dāngdài,Hozirgi vaqt; ayni payt
当地,dāngdì,Mahalliy; ayni joy
当然,dāngrán,Albatta; shubhasiz
当时,dāngshí,O’sha paytda
挡,dǎng,To’smoq
刀,dāo,Pichoq; ustara
岛,dǎo,Orol
倒霉,dǎoméi,Omadsizlik
导演,dǎoyǎn,Rejissorlik qilmoq; rejissor
导游,dǎoyóu,Gid
导致,dǎozhì,Keltirmoq; olib kelmoq
倒,dào,Ag’darmoq; to’ntarmoq; chappasiga qo’ymoq; quymoq
到,dào,Yetib kelmoq; - gacha
到处,dàochù,Har joy; hamma joy
到达,dàodá,Yetib bormoq; yetib kelmoq
到底,dàodǐ,Nihoyat
道德,dàodé,Odob – axloq; axloqli; ma’naviy
道理,dàolǐ,Qonun; qoida
道歉,dàoqiàn,Uzr so’ramoq
地,de,- ish; - ishi (sifatga qo’shiladi)
的,de,- ning; - im
得,de,- ish; - ishi (fe’lga qo’shiladi)
得意,déyì,Mamnun; rozi bo’lmoq
得,děi,Kerak; shart
灯,dēng,Chiroq; svet
登机牌,dēngjīpái,Uchish taloni
登记,dēngjì,Ro’yxatga olmoq; ro’yxatdan o’tmoq
等待,děngdài,Kutmoq
等候,děnghòu,Kutmoq
等于,děngyú,To’g’ri kelmoq
低,dī,Past; qisqa
滴,dī,Tomchi; tomchilamoq
的确,díquè,Haqiqatda; chindan
敌人,dírén,Dushman
底,dǐ,Tag; tub; past
递,dì,Topshirmoq; qo’liga bermoq
地道,dìdao,Haqiqiy
地方,dìfang,Joy; mahalliy
地理,dìlǐ,Geografiya
地球,dìqiú,Yer shari
地区,dìqū,Tuman
地毯,dìtǎn,Gilam
地铁,dìtiě,Metro
地图,dìtú,Xarita
地位,dìwèi,Joy; o’rin; vaziyat
地震,dìzhèn,Zilzila
地址,dìzhǐ,Manzil
弟弟,dìdi,Uka
第一,dìyī,Ilk; birinchi
点,diǎn,Tomchi; nuqta
点头,diǎntóu,Boshini qimirlatmoq
点心,diǎnxin,Pirojniy
电池,diànchí,Batareyka
电脑,diànnǎo,Kompyuter
电视,diànshì,Televizor
电台,diàntái,Radio stansiya
电梯,diàntī,Lift
电影,diànyǐng,Kino
电子邮件,diànzǐ yóujiàn,Elektron pochta; E-mail
钓,diào,Baliq ovlamoq
掉,diào,Yiqilmoq; to’kilmoq
调查,diàochá,Tekshirmoq
丁,dīng,Yigit; balog’atga yetgan
顶,dǐng,Cho’qqi; tom
丢,diū,Yo’qotmoq
冬,dōng,Qish; qishki
东,dōng,Sharq
东西,dōngxi,Narsa
懂,dǒng,Tushunmoq
冻,dòng,Muzlamoq
洞,dòng,G’or;ungur
动画片,dònghuàpiàn,Multiplikatsion film
动物,dòngwù,Hayvon
动作,dòngzuò,Harakat
都,dōu,Hamma
逗,dòu,Ovunmoq; ermak bo’lmoq
豆腐,dòufu,Dufu
读,dú,O’qimoq
独立,dúlì,Mustaqil
独特,dútè,O’ziga xos
堵车,dǔchē,Tirbandlik
度过,dùguò,Yashamoq; vaqtni o’tkazmoq
肚子,dùzi,Qorin
短,duǎn,Kalta
短信,duǎnxìn,SMS
段,duàn,Qism; bo’lak
断,duàn,Kesmoq; yirtilmoq; sinmoq; uzilmoq
锻炼,duànliàn,Chiniqmoq; mashq qilmoq
堆,duī,Uyum; to’da; uymoq; uyib tashlamoq
对比,duìbǐ,Taqqoslamoq; solishtirmoq
对不起,duìbuqǐ,Kechiring!
对待,duìdài,Tegishli bo’lmoq; oid bo’lmoq
对方,duìfāng,Qarshi tomon; qarshi
对话,duìhuà,Dialog
对面,duìmiàn,Qarshi tomon
对手,duìshǒu,Raqib; qarshi
对象,duìxiàng,Obyekt; xotin; kelin
对于,duìyú,Haqida; to’g’risida
吨,dūn,Tonna
蹲,dūn,Cho’kkalab o’tirmoq
顿,dùn,To’xtalmoq; to’xtamoq; pauza qilmoq
多,duō,Ko’p
多亏,duōkuī,Minnatdor bo’lmoq
多么,duōme,Qanchalar; shunchalar
多少,duōshao,Qancha?
多余,duōyú,Keragidan ortiqcha
朵,duǒ,Gul; hisob so’z gulga
躲藏,duǒcáng,Bekinmoq; yashirinmoq
饿,è,Och qolmoq
恶劣,èliè,Yomon; yaramas
而,ér,Ammo
而且,érqiě,Shuningdek
儿童,értóng,Bolalar
儿子,érzi,O’g’il
耳朵,ěrduo,Quloq
二,èr,Ikki
发,fā,Chiqarmoq; to’lamoq; topshirmoq; jo’natmoq
发表,fābiǎo,Nashr qilmoq
发愁,fāchóu,Hafa bo’lmoq; qayg’urmoq
发达,fādá,Rivojlangan
发抖,fādǒu,Titramoq; qaltiramoq
发挥,fāhuī,Namoyon qilmoq
发明,fāmíng,Ixtiro qilmoq
发票,fāpiào,Faktura; kvitansiya
发烧,fāshāo,Issiqlik; temperatura
发生,fāshēng,Sodir bo’lmoq
发现,fāxiàn,Aniqlamoq; topmoq
发言,fāyán,Bayon qilmoq; oshkor qilmoq
发展,fāzhǎn,Rivojlanmoq
罚款,fákuǎn,Jarima solmoq; jazolamoq
法律,fǎlǜ,Qonun; qonuniy
法院,fǎyuàn,Sud; sud zali
翻,fān,Ag’darmoq; to’ntarmoq
翻译,fānyì,Tarjima qilmoq; tarjima
烦恼,fánnǎo,Hafalik
繁荣,fánróng,Gullamoq; o’smoq
凡是,fánshì,Har kim
反对,fǎnduì,Qarshi bo’lmoq
反而,fǎn'ér,Aksincha
反复,fǎnfù,Qayta-qayta
反复,fǎnyìng,Fikr bildirmoq
反应,fǎnyìng,Tasvirlamoq
反正,fǎnzhèng,To’g’ri yo’lga burilmoq
饭馆,fànguǎn,Restoran; oshxona
范围,fànwéi,Sirt; chegara; ramka
方,fāng,To’rtburchak; tomon; joy
方案,fāng'àn,Loyiha; taklif; reja
方便,fāngbiàn,Qulay; qulaylik
方法,fāngfǎ,Usul; metod; vosita; chora
方面,fāngmiàn,Tomon
方式,fāngshì,Usul
方向,fāngxiàng,Yo’nalish; tomon; kurs
妨碍,fáng'ài,Qarshilik qilmoq; halaqit bermoq
房东,fángdōng,Uy egasi
房间,fángjiān,Xona; raqam
仿佛,fǎngfú,Xuddi; o’xshash; -dek
访问,fǎngwèn,Tashrif buyurmoq
放,fang,Ruxsat bermoq; qo’yib yubormoq; qo’ymoq
放弃,fàngqì,Qarshilik qilmoq; uloqtirmoq; qo’ymoq
放暑假,fàng shǔjià,Yozgi ta’tilga chiqmoq
放松,fàngsōng,Zaiflashtirmoq
放心,fàngxīn,Xotirjam bo’lmoq
非,fēi,Yo’q; bo’lmaslik
非常,fēicháng,Judayam; alohida; maxsus
飞机,fēijī,Samolyot
肥皂,féizào,Sovun
肺,fèi,O’pka
废话,fèihuà,Safsata
费用,fèiyong,Xarajat; chiqim
分,fēn,Bo’lmoq;bo’linmoq; daqiqa
分别,fēnbié,Farq; tavofut; ajratmoq
分布, fēnbù,Kengaytirmoq
分配,fēnpèi,Taqsimlamoq
分析,fēnxī,Tahlil qilmoq; tahlil
分之, fēnzhī,Mayda qism
分钟,fēnzhōng ,Minut
纷纷,fēnfēn,Betartib; xilma-xil
份,fèn,Qism; bo’lak; hissa; ulush
奋斗,fèndòu,Kurashmoq; urushmoq
愤怒,fènnù,G’azab; nafrat; jahl
丰富,fēngfù,Boy; mo’l; serob
风格,fēnggé,Uslub; stil
风景,fēngjǐng,Manzara
风俗,fēngsú,Urf-odat; taomil
风险,fēngxiǎn,Tavakkal qilmoq; tavakkal
疯狂,fēngkuáng,Haddan tashqari kuchli
讽刺,fěngcì,Masxara qilmoq
否定,fǒudìng,Inkor qilmoq; rad qilmoq. qarshi; salbiy
否认,fǒurèn,Iqror bo’lmaslik
否则,fǒuzé,Aks holda; bo’lmasa
扶,fú,Tutib turmoq; ko’tarib turmoq
幅,fú,Polotno; tasma
服从,fúcóng,Itoat etmoq
服务员,fúwùyuán,Xizmatchi; ofitsant
服装,fúzhuāng,Kiyim
符合,fúhé,Muvofiq bo’lmoq
辅导,fǔdǎo,Repetitorlik qilmoq
富,fù,Boy
附近,fùjìn,Yaqin
付款,fùkuǎn,To’lamoq
妇女,fùnǚ,Ayol
父亲,fùqīn,Ota
复习,fùxí,Takrorlamoq
复印,fùyìn,Ko’paytirmoq; nusxalamoq
复杂,fùzá,Qiyin; murakkab
复制,fùzhì,Takror ishlamoq
负责,fùzé,Javobgarlikni o’z bo’yniga olmoq
改变,gǎibiàn,O’zgartirmoq
改革,gǎigé,Islohot qilmoq; islohot
改进,gǎijìn,Takomillashtirmoq
改善,gǎishàn,Yangilamoq; tuzatish; yangilash
改正,gǎizhèng,To’g’irlamoq
盖,gài,To’shamoq; qoplamoq; qurmoq
概括,gàikuò,Umumlashtirmoq; xulosa
概念,gàiniàn,Tushuncha; mohiyat
干杯,gānbēi,Oxirigacha ichmoq
干脆,gāncuì,Bevosita; to’g’ri; ochiqchasiga
干净,gānjìng,Toza
干燥,gānzào,Quruq; qurg’oqchil
敢,gǎn,Jur’at qilmoq; qila olmoq
感动,gǎndòng,Hayajonlanmoq
感激,gǎnjī,Minnatdor bo’lmoq
感觉,gǎnjué,His qilmoq; his qilish; his-tuyg’u
感冒,gǎnmào,Shamollamoq
感情,gǎnqíng,His-tuyg’u
感受,gǎnshòu,Qabul qilmoq; his qilmoq
感想,gǎnxiǎng,Taassurot
感谢,gǎnxiè,Minnatdor bo’lmoq
赶紧,gǎnjǐn,Darhol; tezda
赶快,gǎnkuài,Tezda
干,gàn,Quruq; qilmoq; bajarmoq; shug’ullanmoq
干活儿,gàn huór,Ishlamoq; ish
刚才,gāngcái,Endigina
刚刚,gānggāng,Hozirgina
钢铁,gāngtiě,Metallurgiya; po’lat va temir
高,gāo,Baland; yuqori
高档,gāodàng,Yuqori sifatli
高级,gāojí,Yuqori daraja
高速公路,gāosùgōnglù,Magistral
高兴,gāoxìng,Xursand bo’lmoq
搞,gǎo,Qilmoq; shug’ullanmoq; ishlamoq
告别, gàobié,Ajralmoq
告诉,gàosu,Aytmoq; xabar bermoq
胳膊,gēbo,Qo’l (yelkadan bilakkacha)
哥哥,gēge,Aka
鸽子,gēzi,Kabutar
隔壁,gébì,Qo’shnichilik
革命,gémìng,Inqilob
格外,géwài,Favqulodda; nihoyatda
个,gè ,Hisob so’z tartib son
个别,gèbié,Alohida; yakka
个人,gèrén,Shaxsiy; individ; alohida odam
个性,gèxìng,Xarakter; shaxsiyat
个子,gèzi,Bo’y; gavda
各,gè,Har bir; har qanday
各自,gèzì,Har kim o’zi
给,gěi,–ga; bermoq
跟,gēn,Bilan
根,gēn,Hisob so’z (uzun narsalarga ); ildiz; tub
根本,gēnběn,Umuman; tub
根据,gēnjù ,- ga binoan; - ga asoslanib; - ga ko’ra
更,gèng,Juda
更加,gèngjiā,Yanada ko’p
公布,gōngbù,Nashr qilmoq; e’lon qilmoq
公共汽车,gōnggòngqìchē,Avtobus
公斤,gōngjīn,Kilogramm
公开,gōngkāi,Ochiq; oshkora; ommaviy
公里,gōnglǐ,Kilometr
公平,gōngpíng,Adolatli; odil;haqqoniy
公司,gōngsī,Firma
公寓,gōngyù,Ko’p xonali uy
公元,gōngyuán,Milodiy
公园,gōngyuán,Bog’
公主,gōngzhǔ,Malika
工厂,gōngchǎng,Zavod; fabrika
工程师,gōngchéngshī,Injener
工具,gōngjù,Asbob-uskuna
工人,gōngrén,Ishchi
工业,gōngyè,Sanoat
工资,gōngzī,Maosh
工作,gōngzuò,Ishlamoq
功夫,gōngfu,Kungfu; ish; mehnat
功能,gōngnéng,Vazifa; maqsad
共同,gòngtóng,Umumiy; qo’shma
贡献,gòngxiàn,Soliq to’lamoq; sadaqa qilmoq
沟通,gōutōng,Qo’shmoq; bog’lamoq; ulamoq
狗,gǒu,It
够,gòu,Yetarli; yetmoq
构成,gòuchéng,Tuzmoq; yaratmoq
购物,gòuwù,Xarid qilmoq; xarid
孤单,gūdān,Yakka; yolg’iz
姑姑,gūgu,Amma
姑娘,gūniang,Qiz bola
估计,gūjì,Baholamoq; cho’tlamoq; narx
古代,gǔdài,Qadimiy; qadimgi; qadim
古典,gǔdiǎn,Klassik
古老,gǔlǎo ,Qadimiy; tarixiy; eski
鼓励,gǔlì,Ilhomlanlantirmoq
鼓舞,gǔwǔ,Ruhlantirmoq; ilhomlantirmoq
鼓掌,gǔzhǎng,Chapak chalmoq; olqishlar
股票,gǔpiào,Aksiya
骨头,gǔtou,Suyak
固定,gùdìng,Doimiy; barqaror; turg’un; asosiy
固体,gùtǐ,Qattiq; qattiq jism
顾客,gùkè,Xaridor
故事,gùshi,Hikoya
故意,gùyì,Ataylab; atayin
雇佣,gùyōng,Yollamoq; yollangan; yollanma
刮风,guā fēng,Shamol esmoq
挂,guà,Osmoq; ilmoq
挂号,guàhào,Yozilmoq
乖,guāi,Itoatkor; gapga kiradigan
拐弯,guǎiwān,Burilmoq; qayrilmoq
怪不得,guàibude,Ajablanarli joyi yo’q
官,guān,Amaldor; amal; mansab
